company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
TRANSYLVANIA ELECTRICALS LTD,05331055,Active,Private limited company,,,2005-01-12,,,43210,"286b Chase Road Southgate London N14 6HF "
POWER TRONICS LIMITED,01775019,Active,Private limited company,,,1983-12-02,,,43210,1a Poppleton Road London E11 1LP England
BALFOUR BEATTY ENGINEERING SERVICES (HY) LIMITED,00215402,Active,Private limited company,,,1926-07-30,,,43210 43220,5 Churchill Place Canary Wharf London E14 5HU England
MAGREE LIMITED,08051455,Active,Private limited company,,,2012-04-30,,,43210,4 Green Lane Business Park 238 Green Lane New Eltham New Eltham SE9 3TL England
POWER CONNEXIONS LIMITED,07888977,Active,Private limited company,,,2011-12-21,,,43210,"115 Cumberland House 80 Scrubs Lane London NW10 6RF "
K A ELECTRICAL LIMITED,04609159,Active,Private limited company,,,2002-12-05,,,43210,"17 Hertford Avenue London SW14 8EF "
"THE WOOD, WIRE & WATER COMPANY LIMITED",04988835,Active,Private limited company,,,2003-12-09,,,43210 43390,"17 Prentis Road Streatham London SW16 1QB "
KRAKRA ELECTRICAL LTD.,07306102,Active,Private limited company,,,2010-07-06,,,43210,17 Queens Road London NW4 2TL England
RENEWABLE CLEAN ENERGY LIMITED,07208883,Active,Private limited company,,,2010-03-30,,,43210,80 Fenchurch Street London EC3M 4AE United Kingdom
MEGABATS ELECTRICAL SERVICES LIMITED,05303140,Active,Private limited company,,,2004-12-02,,,43210,"106 Princes Avenue Kingsbury London NW9 9JD "
MAKALU ELECTRICAL LIMITED,08748899,Active,Private limited company,,,2013-10-25,,,43210,Flat 33 Corrib Court 49 Crothall Close Palmers Green London N13 4BG England
MAVEN ELECTRICAL LIMITED,06880916,Active,Private limited company,,,2009-04-20,,,43210,"20 Railway Side Barnes London SW13 0PN "
BROMLEY SOUTH ELECTRICAL LTD,08472639,Active,Private limited company,,,2013-04-04,,,43210,"48 Banfield Road Nunead London SE15 3TX "
NEWMAY ELECTRICAL SERVICES LIMITED,06588649,Active,Private limited company,,,2008-05-09,,,43210,"Unit 5 Carbery Enterprise Park 36 White Hart Lane London N17 8DP "
INSPIRED DESIGNS (BUILDING) LIMITED,07074262,Active,Private limited company,,,2009-11-12,,,43210 70229,"1st Floor 314 Regents Park Road London N3 2LT "
4TRONIC LTD.,09243245,Active,Private limited company,,,2014-10-01,,,43210,"71-75 Shelton Street London WC2H 9JQ "
SK ELECTRICAL SERVICES (UK) LTD,08241660,Active,Private limited company,,,2012-10-05,,,43210,"16 Lulworth Road London SE9 4DL "
GOOM ELECTRICAL LIMITED,06717639,Active,Private limited company,,,2008-10-07,,,43210,"Unit 24 Hertfordshire Business Centre Alexandra Road, London Colney St Albans AL2 1JG England"
BURLINGTON ELECTRICALS LIMITED,07053021,Active,Private limited company,,,2009-10-22,,,43210,"5 Burlington Muswell Hill London N10 1NJ "
AIRCOND (RO) LIMITED,07042427,Active,Private limited company,,,2009-10-14,,,43210 43999,"248 Church Lane Kingsbury NW9 8SL "
MARKBENCH ENGINEERING SERVICES LIMITED,04484138,Active,Private limited company,,,2002-07-12,,,43210 46190 46620,Unit 61 Battersea Business Centre 99-109 Lavender Hill London SW11 5QL England
CABE ELECTRICAL CONTRACTORS LTD,05598895,Active,Private limited company,,,2005-10-20,,,43210,40 Torquay Gardens Ilford London IG4 5PT England
BCL GWYNT LIMITED,07770761,Active,Private limited company,,,2011-09-12,,,42990 43210,"C/O Wilder Coe Ltd 1st Floor, Sackville House 143-149 Fenchurch Street London EC3M 6BL England"
KOVOSCHMIDT LTD,07396982,Active,Private limited company,,,2010-10-05,,,43210,20-22 Wenlock Road London N1 7GU England
DARRYL CAMPBELL LTD,08619015,Active,Private limited company,,,2013-07-22,,,43210,34 Lower Richmond Road Putney SW15 1JP England
SAFESTART LTD,05269173,Active,Private limited company,,,2004-10-25,,,43210,"34 Holders Hill Drive Hendon London NW4 1NJ "
ILFORD ELECTRICAL LTD,05892273,Active,Private limited company,,,2006-07-31,,,43210,"First Floor, 3 Cumbrian House 217 Marsh Wall London E14 9FJ England"
COMMUNICATION PROJECT SERVICES LIMITED,03873078,Active,Private limited company,,,1999-11-08,,,41100 43210,"151 Askew Road London W12 9AU "
R&I SERVICES (M&E) LIMITED,03252888,Active,Private limited company,,,1996-09-20,,,41100 43210 43220,278 Philip Lane Tottenham London N15 4AD England
SOLAR TEAM LTD,07409526,Active,Private limited company,,,2010-10-15,,,35110 43210,"Willow End Prospect Cottages London SW18 1NW "
FAIRFIELD ELECTRICAL LIMITED,07306151,Active,Private limited company,,,2010-07-06,,,43210,"63/66 Hatton Garden Fifth Floor, Suite 23 London EC1N 8LE England"
BOBBY R&S LTD,08832684,Active,Private limited company,,,2014-01-06,,,43210,55 Caversham Avenue London N13 4LL England
ATO -SOLUTIONS1 LIMITED,09139913,Active,Private limited company,,,2014-07-21,,,43210,"60 Windsor Avenue London SW19 2RR "
MM ELECTRICAL SERVICES LTD,05523497,Active,Private limited company,,,2005-08-01,,,43210,"First Floor, 244 Edgware Road London W2 1DS England"
S A FIRE AND SECURITY SYSTEMS LIMITED,02916866,Active,Private limited company,,,1994-04-08,,,43210 80200,Boundary House Boston Road Hanwell London W7 2QE England
SINEAD CONSULTANTS LIMITED,09331756,Active,Private limited company,,,2014-11-28,,,43210,320 City Road London EC1V 2NZ England
FACELIFT ELECTRICAL SERVICES LIMITED,06440390,Active,Private limited company,,,2007-11-29,,,43210,"71-75 Shelton Street London WC2H 9JQ "
MARK ORBIT AND COMPANY LIMITED,06573145,Active,Private limited company,,,2008-04-22,,,43210,"Flat 3, 30 Gunton Road London E5 9JS England"
ALLAN WATSON ELECTRICAL LIMITED,04634646,Active,Private limited company,,,2003-01-13,,,43210,"39 Grosvenor Gardens Oakwood London N14 4TU "
E.K.W ELECTRICAL SERVICES LIMITED,07158762,Active,Private limited company,,,2010-02-16,,,43210,"3rd Floor, Lawford House Albert Place London N3 1QA England"
JASTONE ELECTRICAL SERVICES LTD,07432412,Active,Private limited company,,,2010-11-08,,,43210,"Thomas Harris 1929 Shop Merton Abbey Mills 18 Watermill Way London SW19 2RD "
JEBARR LIMITED,04968816,Active,Private limited company,,,2003-11-19,,,43210,"12 Northfields Prospect Putney Bridge Road London SW18 1PE "
FMI GROUP SERVICES LTD,09106230,Active,Private limited company,,,2014-06-27,,,43210 43390 70229 81100,Avon House Avonmore Road West Kensington London W14 8TS England
TOWN & COUNTRY ELECTRICIANS LTD,08201631,Active,Private limited company,,,2012-09-04,,,43210,"1hillview Corner Cottage Little London Glos GL17 0PN "
EIS - AXON LIMITED,02606140,Active,Private limited company,,,1991-04-30,,,43210,"Unit 6, Wheatley Business Centre Old London Road Wheatley Oxford OX33 1XW England"
ELPROM LTD,09276888,Active,Private limited company,,,2014-10-23,,,43210,"41b Buckley Road London NW6 7LY "
KIAD LIMITED,08593998,Active,Private limited company,,,2013-07-02,,,43210,"C/O Cwa, Unit 4, 3rd Floor Pride Court 80-82 White Lion Street London N1 9PF England"
ELECTRICAL TECHNOLOGY UK LIMITED,05857372,Active,Private limited company,,,2006-06-26,,,43210,"Wellington House 273-275 High Street London Colney St Albans AL2 1HA "
STRAND ELECTRICAL LTD,08735884,Active,Private limited company,,,2013-10-17,,,43210,"129 Station Road Hendon London NW4 4NJ "
E.V. BULLEN & SON LIMITED,00653265,Active,Private limited company,,,1960-03-21,,,43210 43220 43999,"Green Lane Business Park 238 Green Lane New Eltham London SE9 3TL "
WIRED AND WONDERFUL (UK) LTD,07868018,Active,Private limited company,,,2011-12-01,,,35140 43210,43 Littleton Street Earlsfield SW18 3SZ United Kingdom
ELECTRA (WESTMINSTER) LIMITED,06061350,Active,Private limited company,,,2007-01-23,,,43210,5.2 Central House 1 Ballards Lane London N3 1LQ United Kingdom
ZOOMA LTD,09269768,Active,Private limited company,,,2014-10-17,,,33130 43210 49410,1a Falmer Court London Road Uckfield TN22 1HN England
ASCALON 1982 LIMITED,08980414,Active,Private limited company,,,2014-04-07,,,33190 43210,"5 Calico Row Plantation Wharf London SW11 3YH "
BUZZBAR ELECTRICAL LTD,09318041,Active,Private limited company,,,2014-11-19,,,43210,"15 Highfield Avenue London NW11 9EU "
HELIX BUILDING SOLUTIONS LIMITED,06026615,Active,Private limited company,,,2006-12-12,,,43210 43330 43390,12 Hill Drive Kingsbury London NW9 8PH United Kingdom
ELECTROTAZZ LIMITED,08671128,Active,Private limited company,,,2013-09-02,,,43210,Salisbury House London EC2M 5SQ United Kingdom
BRIGHT ELECTRICS LTD,07809662,Active,Private limited company,,,2011-10-13,,,43210,27 Mendham House Bermondsey Street London SE1 3UL United Kingdom
BELEC ELECTRICAL LTD,07926995,Active,Private limited company,,,2012-01-27,,,43210,"Seymour Chambers 92 London Road Liverpool L3 5NW "
BEAVER ELECTRICAL CONTRACTORS LIMITED,03124487,Active,Private limited company,,,1995-11-10,,,43210,"1364 London Road Norbury London SW16 4DE "
A & P ELECTRICAL LTD,06053251,Active,Private limited company,,,2007-01-15,,,43210,"190 Billet Road London E17 5DX "
CRIMSON SKY FILM LIGHTING LIMITED,08845467,Active,Private limited company,,,2014-01-14,,,43210,"48 Chaplin Road London NW2 5PN "
LORENC CUPI LIMITED,08697093,Active,Private limited company,,,2013-09-19,,,43210,"84 High Street Harlesden London NW10 4SJ "
CLEARWAY FIRE AND SECURITY LIMITED,04312828,Active,Private limited company,,,2001-10-29,,,43210,Pennine Place 2a Charing Cross Road London WC2H 0HF England
GRANT MURRAY LIMITED,04923903,Active,Private limited company,,,2003-10-07,,,43210 43999,"34 Princes Gardens London W3 0LG "
ELECTRICAL SERVICES SOUTHERN LIMITED,07222978,Active,Private limited company,,,2010-04-14,,,43210,Clearwater House Manchester Street London W1U 3AE England
GGK SOLUTIONS LTD,07043367,Active,Private limited company,,,2009-10-15,,,43210,Pi House 40a London Road Gloucester GL1 3NU United Kingdom
PMJ ELECTRICAL SERVICES LIMITED,07074335,Active,Private limited company,,,2009-11-12,,,43210,"75 Hebdon Road Tooting London SW17 7NW "
BRIGHTSPARK - ELECTRICAL & BUILDING SERVICES LTD,06696546,Active,Private limited company,,,2008-09-12,,,43210,"96 Wavertree Road Streatham Hill London SW2 3ST "
RMI SOLUTIONS LIMITED,06338595,Active,Private limited company,,,2007-08-09,,,43210,161 Forest Road London E17 6HE England
OAKLEAF ELECTRICAL LIMITED,05743328,Active,Private limited company,,,2006-03-15,,,43210,84 High Street London NW10 4SJ England
ZERO DEGREES IT & ELECTRICAL LTD,05342005,Active,Private limited company,,,2005-01-25,,,43210 62012 85600,"48 Lawn Terrace London SE3 9LP "
MARTIN DALY LTD,08978673,Active,Private limited company,,,2014-04-04,,,43210,"126 Brookehowse Road London SE6 3TW "
SGR ELECTRICAL LIMITED,09323555,Active,Private limited company,,,2014-11-24,,,43210,Unit 32 4 Spring Bridge Road Ealing W5 2AA England
MCCOOSH ELECTRICAL LIMITED,09361664,Active,Private limited company,,,2014-12-18,,,43210,225 London Road Burgess Hill RH15 9QU United Kingdom
ENVIRON AUDIO LIMITED,04593308,Active,Private limited company,,,2002-11-18,,,43210,"Unit 1, Chester House 1 -3 Brixton Road Kennington Park Business Centre London SW9 6DE "
PRECISE GT LTD,08931303,Active,Private limited company,,,2014-03-10,,,41100 43210 43220 43390,Unit 1 203 The Vale London W3 7QS England
SECURE (UK) SERVICES LIMITED,06715845,Active,Private limited company,,,2008-10-06,,,43210 43999,11 Winchester Road Edmonton London N9 9HA England
HOWLEY ELECTRICAL LIMITED,06491929,Active,Private limited company,,,2008-02-04,,,43210,"158 Hoppers Road Winchmore Hill London N21 3LA "
W.F. FROST (ELECTRICAL CONTRACTORS) LIMITED,01775702,Active,Private limited company,,,1983-12-06,,,43210,6th Floor 2 London Wall Place London EC2Y 5AU England
C S ELECTRICAL ESSEX LIMITED,04348677,Active,Private limited company,,,2002-01-07,,,43210,"146 New London Road Chelmsford Essex CM2 0AW "
SWA ELECTRICAL ENGINEERS LIMITED,05280000,Active,Private limited company,,,2004-11-08,,,43210,"248 Church Lane Kingsbury London NW9 8SL "
SENTPOWER LIMITED,07211856,Active,Private limited company,,,2010-04-01,,,43210 45310 81100,80 Scrubs Lane 409 Cumberland House London NW10 6RF England
DAVID WEBSTER LIMITED,00928643,Active,Private limited company,,,1968-03-12,,,43210,Becket House 1 Lambeth Palace Road London SE1 7EU United Kingdom
SMY ELECTRICAL CONTRACTOR LTD,08392098,Active,Private limited company,,,2013-02-07,,,41100 43210,Unit 2n Commonwealth Buildings Woolwich Church Street London SE18 5NS England
SOLAR LDN LTD,07772651,Active,Private limited company,,,2011-09-13,,,43210,"80 Swyncombe Avenue London W5 4DS "
E.M.L ELECTRICAL SERVICES LIMITED,09143168,Active,Private limited company,,,2014-07-23,,,43210,24a Aldermans Hill London N13 4PN England
TLR ELECTRICAL LIMITED,08335288,Active,Private limited company,,,2012-12-18,,,43210,"4a Roman Road East Ham E6 3RX "
ETEK SERVICES LTD,08890047,Active,Private limited company,,,2014-02-12,,,43210,12 Gateway Mews Ring Way London N11 2UT England
G & G FIXINGS LIMITED,04975403,Active,Private limited company,,,2003-11-25,,,41201 43210 43390,"4 Green Lane Business Park 238 Green Lane New Eltham SE9 3TL "
GECKO ELECTRICAL CO LIMITED,05407470,Active,Private limited company,,,2005-03-30,,,43210,"Solo House The Courtyard London Road Horsham RH12 1AT "
ASH MANAGEMENT & CONSTRUCTION LIMITED,05323641,Active,Private limited company,,,2005-01-04,,,42990 43210,"First Floor, 314 Regents Park Road Finchley London N3 2LT United Kingdom"
LIFESTYLE CONTROLS LIMITED,05267201,Active,Private limited company,,,2004-10-22,,,43210,Lygon House 50 London Road Bromley BR1 3RA United Kingdom
J VALE ELECTRICS LTD,09294227,Active,Private limited company,,,2014-11-04,,,43210,1 Scena Way London SE5 0BD England
AET ELECTRICAL SERVICE LIMITED,08440770,Active,Private limited company,,,2013-03-12,,,43210,6 Tranmere Road Tranmere Road London N9 9EL England
COLT SECURITY SYSTEMS LIMITED,02765450,Active,Private limited company,,,1992-11-17,,,43210 80200,"146 New London Road Chelmsford Essex CM2 0AW "
GBPL LTD,07442572,Active,Private limited company,,,2010-11-17,,,43210 43290 47990 62090,Unit 28a Unimix House Abbey Road London NW10 7TR England
LEM CONTRACTORS LIMITED,06101732,Active,Private limited company,,,2007-02-13,,,43210,14 Millender Walk London SE16 2BL England
DTEC ELECTRICAL LTD,07935781,Active,Private limited company,,,2012-02-03,,,43210,Wellesley House 204 London Road Waterlooville PO7 7AN England
JEP INDUSTRIAL LIMITED,03956494,Active,Private limited company,,,2000-03-27,,,43210,"1 Oriental Road Silvertown London E16 2BZ "
AABS LIMITED,05656021,Active,Private limited company,,,2005-12-16,,,43210 43220,"208 Green Lanes Palmers Green London N13 5UE "
CONNECTION CONTRACTS LIMITED,04173669,Active,Private limited company,,,2001-03-06,,,43210,Unit 4 Green Lane Business Park 238 Green Lane London SE9 3TL England
PINNACLE REGENERATION LIMITED,07449749,Active,Private limited company,,,2010-11-24,,,43210,8th Floor Holborn Tower 137-144 High Holborn London WC1V 6PL United Kingdom
SOLINVICTUS SES LTD,08024256,Active,Private limited company,,,2012-04-10,,,43210 43220,Wellington House 273-275 High Street London Colney AL2 1HA United Kingdom
ELTRADE ELECTRICAL LTD,05367684,Active,Private limited company,,,2005-02-17,,,43210,4 Pier Road London E16 2ZE England
SURESERVE ENERGY SERVICES NORTH LIMITED,01956726,Active,Private limited company,,,1985-11-11,,,43210 43220 43290,Norfolk House 13 Southampton Place London WC1A 2AJ England
E & E BUILDING SERVICES LIMITED,05967917,Active,Private limited company,,,2006-10-16,,,43210,"75 Knighton Park Road London SE26 5RN "
C.A.G. ELECTRICAL CONTRACTORS LIMITED,02263097,Active,Private limited company,,,1988-05-27,,,43210,"C/O Cooper Parry, New Derwent House 69-73 Theobalds Road London WC1X 8TA England"
TREESTONE LIMITED,03322475,Active,Private limited company,,,1997-02-21,,,43210 43220 43290 43390,"107 Perryn Road Acton London W3 7LT "
FES LIGHTING CONTRACTS UK LIMITED,08484653,Active,Private limited company,,,2013-04-11,,,43210 46180,"10 Gloucester Place Portman Square London W1U 8EZ "
ELEKTRIC-ON LTD.,06812570,Active,Private limited company,,,2009-02-06,,,41202 43210,1a Aberavon Road London E3 5AR England
CAUSEWAY ELECTRICAL SERVICES LIMITED,01345523,Active,Private limited company,,,1977-12-22,,,43210 68209,Suite 7 Hillcrest House London Road Stockton Heath Warrington WA4 6LG England
DIVERSE ELECTRICAL & AUDIO LTD.,08302610,Active,Private limited company,,,2012-11-21,,,43210,"Turnpike House 1210 London Road Leigh On Sea SS9 2UA "
C.D. ELECTRICAL (UK) LTD,08957465,Active,Private limited company,,,2014-03-25,,,43210,1053 London Road Leigh-On-Sea SS9 3JP England
YOUNG CONSTRUCTION LIMITED,04605131,Active,Private limited company,,,2002-11-29,,,43210 43341,"1759 London Road Leigh On Sea Essex SS9 2RZ "
LINTON ELECTRICAL CONTRACTORS (KENT) LIMITED,01257518,Active,Private limited company,,,1976-05-07,,,43210,"61 London Road, Maidstone, Kent ME16 8TX "
KONNECT SERVICES LIMITED,06321664,Active,Private limited company,,,2007-07-23,,,43210,17 City North Place London N4 3FU England
HEF SERVICES LTD,06060910,Active,Private limited company,,,2007-01-22,,,43210,First Floor 30 London Road Sawbridgeworth CM21 9JS England
MITIE TECHNICAL SERVICES LIMITED,02798048,Active,Private limited company,,,1993-03-10,,,43210 43220,"Level 12 The Shard, 32 London Bridge Street London SE1 9SG England"
ALTEVI MANAGEMENT LTD,06586394,Active,Private limited company,,,2008-05-07,,,43210,"27 Old Gloucester Street London WC1N 3AX "
LSH ELECTRICAL LIMITED,06679746,Active,Private limited company,,,2008-08-22,,,43210,4a Roman Road Eastham London E6 3RX United Kingdom
HANSETT ELECTRONICS LIMITED,02246525,Active,Private limited company,,,1988-04-20,,,43210 46439,"Wellesley House Duke Of Wellington Avenue Royal Arsenal London SE18 6SS "
BRIAN CHICK LIMITED,04730055,Active,Private limited company,,,2003-04-10,,,43210 43220,Aston House Cornwall Avenue London N3 1LF England
BANCROFT LIMITED,02907123,Active,Private limited company,,,1994-03-10,,,43210 43220,32 Harbour Exchange Square Harbour Island London E14 9GE England
ZEB ELECTRICAL SERVICES LTD,09172920,Active,Private limited company,,,2014-08-13,,,43210,Flat A 201 Mitcham Lane London SW16 6PW England
T & I FACILITIES LIMITED,05642838,Active,Private limited company,,,2005-12-02,,,43210,"105 Seven Sisters Road London N7 7QR "
UNILEVSTRONG LTD,07430599,Active,Private limited company,,,2010-11-05,,,43210,"63 Loveridge Road London NW6 2DR "
HORAKTY LTD,07091905,Active,Private limited company,,,2009-12-01,,,41100 43210 46190 62020,86-90 Paul Street London EC2A 4NE England
FIRETEX LIMITED,06612068,Active,Private limited company,,,2008-06-05,,,43210,Langley House Park Road London N2 8EY England
SIM ELECTRICAL LTD,09030300,Active,Private limited company,,,2014-05-08,,,43210,1007 London Road Leigh-On-Sea SS9 3JY England
POWER SOURCE LTD,08762086,Active,Private limited company,,,2013-11-05,,,43210 62012,"58 Princelet St London E1 5LP "
BISHOPSGATE ELECTRICAL LTD,08874318,Active,Private limited company,,,2014-02-04,,,43210,"Suite 111, Atlas Business Centre Oxgate Lane London NW2 7HJ England"
TT BUILDING CONTRACTORS LIMITED,06498902,Active,Private limited company,,,2008-02-11,,,43210 43220 43310 43390,161 Forest Road London E17 6HE England
CURRENT PHASE ELECTRICAL LTD,09048924,Active,Private limited company,,,2014-05-20,,,43210,66 Woodbury Street London SW17 9RR England
YG ELECTRICIAN LTD,07969254,Active,Private limited company,,,2012-02-29,,,43210,98 Fieldend Road London SW16 5ST England
NEW WORLD TIMBER SUPPLIES LIMITED,04383461,Active,Private limited company,,,2002-02-27,,,43210 43320,"First Floor, 3 Cumbrian House 217 Marsh Wall London E14 9FJ United Kingdom"
DLV ELECTRICAL SERVICES LTD,08952709,Active,Private limited company,,,2014-03-21,,,43210,1b Hamilton Road London NW10 1NU United Kingdom
ALTERNATIVE POWER SYSTEMS LIMITED,07528177,Active,Private limited company,,,2011-02-14,,,43210,"22 Cheyne Walk London NW4 3QJ "
GB ELECTRICS LIMITED,04413288,Active,Private limited company,,,2002-04-10,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
HN ELECTRICS LIMITED,08966584,Active,Private limited company,,,2014-03-31,,,43210,"8 Clock House Parade North Circular Road London N13 6BG "
AVIS GOLDSMITH LIMITED,06145402,Active,Private limited company,,,2007-03-08,,,43210,"C/O Bbk Accountants Limited 4a Roman Road East Ham E6 3RX "
INTELLICASA LTD,05802465,Active,Private limited company,,,2006-05-02,,,43210 47190,"4th Floor, Charles House 108-110 Finchley Road London NW3 5JJ United Kingdom"
GILL CONSTRUCTION COMPANY LIMITED,05753533,Active,Private limited company,,,2006-03-23,,,43210 43320,"46 Shalimar Gardens London W3 9JQ "
AMPROELECTRICS LTD,08839791,Active,Private limited company,,,2014-01-10,,,33140 43210,1 The Terrace Newgate Street London E4 6JA England
W5 ELECTRICAL LTD,08344460,Active,Private limited company,,,2013-01-02,,,43210,11 Vallis Way Ealing W13 0DD United Kingdom
GOODMASTER LIMITED,05739540,Active,Private limited company,,,2006-03-13,,,43210,"C/O Bbk Accountants Limited 4a Roman Road East Ham E6 3RX "
WORLDMN LTD,04911616,Active,Private limited company,,,2003-09-25,,,33160 41100 41201 43210,"201 Uxbridge Road West Ealing London W13 9AA "
SPEEDY PRESS LTD,06770741,Active,Private limited company,,,2008-12-11,,,18129 43210,23 Badminton Mews London E16 1TH England
BOWMAN ELECTRICAL CONTRACTORS LIMITED,06321722,Active,Private limited company,,,2007-07-24,,,43210,Suite 20 46 Aldgate High Street London EC3N 1AL England
MPM LTD,06641122,Active,Private limited company,,,2008-07-08,,,43210,22 Penny Brookes Street Stratford E15 1GP United Kingdom
SWITCH - ELECTRIC LIMITED,06466271,Active,Private limited company,,,2008-01-08,,,43210,"Unit 14 63 Jeddo Road London W12 9EE "
JON WARD DESIGN LIMITED,08010286,Active,Private limited company,,,2012-03-28,,,43210 43220,Lynton House Tavistock Square London WC1H 9BQ England
INHOUSEPLUS LTD,08503239,Active,Private limited company,,,2013-04-25,,,41202 43210 43220 71111,Suite B Suite B 30 Barnes High Street Barnes London SW13 9LW England
M C ELECTRICAL (UK) LTD,04709446,Active,Private limited company,,,2003-03-24,,,43210,"591 London Road Cheam Sutton SM3 9AG "
PARCO - ELEC LTD,06463884,Active,Private limited company,,,2008-01-04,,,43210,436 Green Lane New Eltham SE9 3TG United Kingdom
BRIAM ELECTRICAL CONTRACTORS LIMITED,06446996,Active,Private limited company,,,2007-12-06,,,43210,2 Beacon End Courtyard London Road Stanway Colchester CO3 0NU England
VGB LTD,07656919,Active,Private limited company,,,2011-06-03,,,43210,601 Britannia House 1 Glenthorne Road London W6 0LH England
JAY BEE ELECTRICAL LIMITED,04647676,Active,Private limited company,,,2003-01-24,,,43210,"4th Floor Tuition House 27/37 St George's Road Wimbledon SW19 4EU "
D SIMMONDS ELECTRICAL SERVICES LIMITED,04170662,Active,Private limited company,,,2001-03-01,,,43210,"39 Hever Croft Eltham London SE9 3HA "
FIRST CALL ELECTRICAL CONTRACTORS LIMITED,06593246,Active,Private limited company,,,2008-05-14,,,43210,"335 City Road London EC1V 1LJ "
ORACLE IMPLEMENTATIONS LIMITED,03261145,Active,Private limited company,,,1996-10-09,,,43210 62020,"28 Hearne Road London W4 3NJ "
B.I.L. TECHNICAL SERVICES LIMITED,04381451,Active,Private limited company,,,2002-02-26,,,43210,20 Beaulieu Close London SE5 8BA United Kingdom
LG ELECTRICAL SERVICES LIMITED,05147123,Active,Private limited company,,,2004-06-07,,,43210,3 - 5 London Road Rainham Gillingham ME8 7RG England
STONE ELECTRICS LIMITED,08449979,Active,Private limited company,,,2013-03-18,,,43210,"23 Rosebank Road London W7 2EW "
P.F.L. ELECTRICAL LTD,04790446,Active,Private limited company,,,2003-06-06,,,43210 82990,130 Shaftesbury Avenue 2nd Floor London W1D 5EU United Kingdom
J.P.B. ELECTRICAL LIMITED,05175778,Active,Private limited company,,,2004-07-09,,,43210 68100,Broom House 39/43 London Road Hadleigh Benfleet SS7 2QL England
A.S.M. ENGINEERING LIMITED,01522080,Active,Private limited company,,,1980-10-14,,,43210,"8th Floor Becket House 36 Old Jewry London EC2R 8DD "
S.COSTIN ELECTRICAL LIMITED,08990249,Active,Private limited company,,,2014-04-10,,,43210,320 City Road London EC1V 2NZ England
WISHPOOL LIMITED,03728659,Active,Private limited company,,,1999-03-09,,,43210,6th Floor 9 Appold Street London EC2A 2AP United Kingdom
L.M.O.B. ELECTRICAL CONTRACTORS LIMITED,02113360,Active,Private limited company,,,1987-03-20,,,43210,135 Notting Hill Gate London W11 3LB England
XL-PIXEL LIMITED,08466934,Active,Private limited company,,,2013-03-28,,,33140 43210,77 St. Elmo Road London W12 9DZ England
SINE WAVE ELECTRICAL LTD,08926298,Active,Private limited company,,,2014-03-06,,,43210,1 Admirals Court Windlesham Grove London SW19 6AP United Kingdom
G SERVICES (SOUTH) LTD,06839857,Active,Private limited company,,,2009-03-09,,,43210,Flat 10 Eaton Court 48 Eaton Rise London W5 2EU England
JETS ELECTRICAL CONTRACTORS LIMITED,06220439,Active,Private limited company,,,2007-04-20,,,43210,"Jubilee Close Kingsbury London NW9 8TR "
THE FULL ELECTRICAL SERVICES COMPANY LTD.,03100654,Active,Private limited company,,,1995-09-11,,,43210,3rd Floor 86 - 90 Paul Street London EC2A 4NE England
PERFORMANCE BUILDING SERVICES LIMITED,03169548,Active,Private limited company,,,1996-03-08,,,43210,"91 Clapham Road London SW9 0HY "
IVAN ELECTRICAL SERVICES LTD,06179635,Active,Private limited company,,,2007-03-22,,,43210,"5 Bellamy Road London E4 9NB "
ELECTRICAL PLUS LIFT LTD,06443033,Active,Private limited company,,,2007-12-03,,,43210,"99-103 Lomond Grove London SE5 7HN "
QBS ELECTRICAL LIMITED,08457897,Active,Private limited company,,,2013-03-22,,,43210,"43 Manchester Street London W1U 7LP "
J & K ELECTRICAL LIMITED,06836526,Active,Private limited company,,,2009-03-04,,,43210,"1 Lushington Road, Catford London SE6 3RJ "
SHIELD TRADERS LIMITED,03337744,Active,Private limited company,,,1997-03-21,,,43210,"286b Chase Road Southgate London N14 6HF "
IPS (2009) LTD,06162497,Active,Private limited company,,,2007-03-15,,,43210,"1 Moselle Avenue Wood Green London N22 6ES "
CLASSIC WIRING LIMITED,06524770,Active,Private limited company,,,2008-03-05,,,43210,"308 Verdant Lane London SE6 1TW "
RED SWORD SECURITY LTD,06528238,Active,Private limited company,,,2008-03-08,,,43210 46900 61900 96090,Fergusson House 124 City Road London EC1V 2NX England
IDEAL PROPERTY MAINTENANCE (UK) LTD,06874405,Active,Private limited company,,,2009-04-08,,,43210 43220,21 Lyndhurst Drive London E10 6JB England
ELECTRICOOL SERVICES LIMITED,04736361,Active,Private limited company,,,2003-04-16,,,43210,"Sutherland House 1759 London Road Leigh On Sea SS9 2RZ "
SABIEN TECHNOLOGY LIMITED,05065610,Active,Private limited company,,,2004-03-05,,,43210,71-75 Shelton Street London WC2H 9JQ United Kingdom
DINEEN ELECTRICAL SERVICES LTD,09208011,Active,Private limited company,,,2014-09-08,,,43210,"12 Coniston Gardens London NW9 0BD "
T AND B ELECTRICIANS LTD,08987032,Active,Private limited company,,,2014-04-09,,,43210,C/O B&F Services 3 More London Riverside London SE1 2RE United Kingdom
SHINETECH ELECTRICAL SERVICES LIMITED,09037622,Active,Private limited company,,,2014-05-13,,,43210,15 Seymour Street Duke House London SE18 6SX England
